run_id;experiment_id;Basis;Matt_Beads;Matt_Silica;Wachs;Verdicker;Time_To_Mix;Time_To_Dispense;thickness;gloss_60;gloss_85;haze;CIELAB_10deg_L;CIELAB_10deg_a;CIELAB_10deg_b;Viskos1;Viskos2;abrasion0;abrasion1;abrasion2;abrasion3
843;5;93.572;2.6310000000000002;0.491;0.636;2.675;618.0;323.0;41.1;52.3;72.8;361.0;1.50406675332;-0.279807075285;-0.206619662519;634.4040000000001;334.554;0.0976855896292726;0.11856975740049;0.1143203749447724;0.1143203749447724
843;6;84.076;4.498;8.597999999999999;2.634;0.182;663.0;326.0;31.799999999999997;11.9;26.4;72.5;8.773518055699999;-0.299029997476;-1.18447760578;89.15110000000001;64.1794;0.0529870566734948;0.0585593896855042;0.0603530294814636;0.0603530294814636
843;7;76.331;10.759;7.381;1.623;3.916;1157.0;341.0;33.0;6.0;13.2;34.6;11.362540562500001;-0.238389293168;-0.970844672459;692.741;371.458;0.1544551050327348;0.1225404918263244;0.1835060449050086;0.1835060449050086
843;8;86.86399999999999;0.771;7.351;3.64;1.427;976.0;386.0;38.5;17.0;34.2;124.5;5.807318250799999;-0.291169719446;-0.87979214432;337.865;189.019;0.1204355695465317;0.1003992699923685;0.1567815650479977;0.1567815650479977
843;9;92.45;1.236;4.3709999999999996;1.143;0.79;638.0;361.0;36.0;33.5;56.1;261.2;2.8236335201799996;-0.293355809019;-0.652367823194;275.372;159.24899999999997;0.1323502831666465;0.1058799754990561;0.1558991796200345;0.1558991796200345
843;10;77.986;11.235999999999999;4.412;3.1229999999999998;3.286;682.0;362.0;36.9;7.8;16.5;47.9;10.446035971699999;-0.259133820017;-0.930324010184;679.562;363.514;0.0771365525966984;0.0510616238904285;0.0954287916214805;0.0954287916214805
844;1;87.21600000000001;4.983;5.621;0.127;2.043;674.0;382.0;40.5;19.3;37.2;147.2;5.06525562246;-0.324006125342;-0.696171629934;483.837;260.723;0.098618181909467;0.1027351437924248;0.1227858778166044;0.1227858778166044
844;2;92.71;0.598;0.011;2.1369999999999996;4.55;973.0;418.0;41.7;60.2;79.3;356.8;1.2540027722899998;-0.237677010613;-0.080606249699;1155.15;571.15;0.1096887928264449;0.0877383570309675;0.1110098606257782;0.1110098606257782
844;3;94.467;0.49700000000000005;0.41;1.066;3.527;617.0;332.0;39.7;62.3;80.5;384.1;1.1430634917499995;-0.217381872106;-0.232651242642;779.216;400.82;0.040381998835201;0.0418819285456079;0.0589189962646101;0.0589189962646101
844;4;84.979;0.526;10.453000000000001;3.063;1.037;634.0;430.0;35.4;13.3;27.6;89.2;7.3347022071;-0.252750467407;-1.24035936428;202.682;121.411;0.0398334889745752;0.0356631823111218;0.0568755773788006;0.0568755773788006
844;5;79.233;12.695;3.262;0.07100000000000001;4.7860000000000005;681.0;360.0;36.0;9.8;20.2;65.1;8.7804617655;-0.213862506756;-0.904022442471;1059.7800000000002;552.144;0.1518543900871591;0.1304882365345222;0.182409025183757;0.182409025183757
844;6;89.74799999999999;1.7750000000000001;4.159000000000001;2.0669999999999997;2.284;689.0;378.0;42.3;27.0;48.3;212.2;3.5208718008699993;-0.306263169877;-0.586779697799;568.67;298.39;0.1187141021006547;0.1154795256456601;0.147733035104631;0.147733035104631
844;7;90.619;3.575;4.861;0.566;0.40299999999999997;697.0;419.0;37.9;26.9;48.7;207.0;4.179334064029999;-0.322784906438;-0.866584608207;194.797;118.958;0.1027797023737799;0.0855876209985138;0.1114843153793629;0.1114843153793629
844;8;76.124;17.013;1.432;2.5669999999999997;2.9050000000000002;646.0;344.0;38.9;7.1;14.8;42.2;11.4033598448;-0.261621772875;-1.04101915344;492.99300000000005;289.679;0.1194013083905691;0.087057426597582;0.135021287705346;0.135021287705346
844;9;83.376;2.2920000000000003;11.138;1.5610000000000002;1.6509999999999998;657.0;337.0;37.2;11.6;24.4;76.0;7.7801500697;-0.308489024442;-1.18683607231;280.04900000000004;158.191;0.1384579467405711;0.1250884895770574;0.1612669197092019;0.1612669197092019
844;10;88.869;2.312;1.1509999999999998;3.5660000000000003;4.155;672.0;353.0;36.2;32.0;55.0;251.9;3.2834438545699998;-0.336516751516;-0.402241336099;1027.73;518.085;0.1301982919628871;0.1216850925814355;0.1523991344338675;0.1523991344338675
845;1;93.667;4.611;0.074;0.315;1.356;668.0;347.0;35.7;48.2;68.7;348.0;1.7487724568399994;-0.258447793248;-0.329027804513;465.511;250.71;0.1185019781499779;0.1128844589709603;0.1461163744627867;0.1461163744627867
845;2;79.153;7.128;7.5729999999999995;2.3280000000000003;3.836;661.0;391.0;37.3;8.3;18.0;51.7;9.473418748099999;-0.277656844372;-0.911397931783;682.357;361.18500000000006;0.0830866921717476;0.0817323623328111;0.0892859832509941;0.0892859832509941
